Gene,Glucose
purK,0.014865836
purL,0.576307595
purM,0.155534604
purN,0.017686155
purR,0.05233202
purT,0.167427217
purU,0.122051936
putA,0.030632063
putP,0.006951772
puuA,0.010775828
puuC,0.010247271
puuD,0.005286236
puuE,0.003074285
puuR,0.003700493
pykA,0.162057914
pykF,0.749138038
pyrB,0.507526316
pyrC,0.288876483
pyrD,0.094235693
pyrE,0.000870286
pyrF,0.065838655
pyrG,0.096171116
pyrH,0.030558805
pyrI,0.541399301
qmcA,0.000519157
qorA,0.050835721
qorB,0.013244617
qseB,0.002879395
queA,0.02717579
queC,0.012967358
queD,0.006453737
queE,0.007985137
queF,0.00318255
racR,0.004871028
radA,0.003209072
raiA,0.045625624
rapA,0.015293683
rarA,0.000429646
ratB,0.002265661
ravA,0.003074499
rbfA,0.038545243
rbn,0.000396836
rbsA,0.001657796
rbsB,0.258631329
rbsC,0.000348476
rbsD,0.004488109
rbsK,0.003510023
rclA,0.001451372
rcnB,0.009180958
rcnR,0.008290965
rcsB,0.108677794
rcsC,0.000260807
rcsD,0.00542038
rcsF,0.018277212
rdgB,0.023610528
rdgC,0.03163404
rdoA,0.003621228
recA,0.095392399
recB,0.00896792
recC,0.000225108
recD,4.0656E-05
recF,0.002286707
recG,0.000317288
recJ,0.000535361
recN,6.6347E-07
recR,0.002768893
relA,0.008947442
relB,0.002681183
rep,0.000889694
rfaC,0.003654416
rfaF,0.012265216
rfaG,0.003456471
rfaH,0.001698069
rfaL,0.000643863
rfaY,0.000193635
rfbB,0.067907965
rfbC,0.008892171
rfbD,0.041287936
rffA,0.005457968
rffC,0.001164026
rffG,0.002717274
rhlB,0.038842279
rhlE,0.002035133
rho,0.252859426
ribA,0.011244972
ribB,0.014360644
ribC,0.029012644
ribD,0.012978919
ribE,0.196595464
ribF,0.009216222
ridA,0.20896885
