TF,Target,Regulation
NarL,dmsB,-
Fis,dmsC,-
FNR,dmsC,+
IHF,dmsC,-
ModE,dmsC,-
NarL,dmsC,-
FNR,dmsD,+
NarL,dmsD,-
ArgP,DnaA,+
LexA,dnaG,-
ArgP,dnaN,+
DnaA,dnaN,-
ArcA,DpiA,+
CRP,DpiA,-
DcuR,DpiA,+
FNR,DpiA,-
NarL,DpiA,-
ArcA,dpiB,+
CRP,dpiB,-
DcuR,dpiB,+
DpiA,dpiB,+
FNR,dpiB,-
NarL,dpiB,-
FNR,dppA,-
IHF,dppA,+
FNR,dppB,-
IHF,dppB,+
FNR,dppC,-
IHF,dppC,+
FNR,dppD,-
IHF,dppD,+
FNR,dppF,-
IHF,dppF,+
Fis,dps,-
H-NS,dps,-
IHF,dps,+
MntR,dps,-
OxyR,dps,+
CpxR,dsbA,+
CpxR,dsbC,+
OxyR,dsbG,+
CRP,dsdA,+
DsdC,dsdA,+
NsrR,DsdC,-
CRP,dsdX,+
DsdC,dsdX,+
LeuO,dsrA,-
OmpR,dtpA,+
CRP,dusB,+
Fis,dusB,-
IHF,dusB,+
CRP,ebgA,+
EbgR,ebgA,-
CRP,ebgC,+
EbgR,ebgC,-
OmpR,ecnB,-
MatA,ecpA,+
MatA,ecpR,+
Cra,eda,-
GntR,eda,-
KdgR,eda,-
PhoB,eda,-
Cra,edd,-
GntR,edd,-
KdgR,edd,-
CpxR,efeU_1,-
CpxR,efeU_2,-
MprA,emrA,-
MprA,emrB,-
EvgA,emrK,+
FNR,emrK,+
EvgA,emrY,+
FNR,emrY,+
Cra,eno,-
CRP,entA,+
Fur,entA,-
CRP,entB,+
Fur,entB,-
CRP,entC,+
Fur,entC,-
CRP,entD,+
Fur,entD,-
CRP,entE,+
Fur,entE,-
FNR,entF,+
Fur,entF,-
H-NS,entF,+
CRP,entH,+
Fur,entH,-
Cra,envC,-
CRP,envZ,+
CRP,envZ,-
IHF,envZ,-
Cra,epd,-
CRP,epd,+
IscR,erpA,-
H-NS,EvgA,-
EvgA,evgS,+
H-NS,evgS,-
Fur,exbB,-
Fur,exbD,-
CRP,exuT,+
DpiA,exuT,+
ExuR,exuT,-
FabR,fabA,-
FadR,fabA,+
FabR,fabB,-
FadR,fabB,+
FadR,fabD,+
FadR,fabG,+
FadR,fabH,+
FadR,fabI,+
CpxR,fabZ,+
GadE,fabZ,+
ArcA,fadA,-
FadR,fadA,-
Fis,fadA,+
ArcA,fadB,-
FadR,fadB,-
Fis,fadB,+
ArcA,fadD,-
CRP,fadD,+
FadR,fadD,-
ArcA,fadE,-
FadR,fadE,-
ArcA,fadH,-
CRP,fadH,+
FadR,fadH,-
HipB,fadH,-
ArcA,fadI,-
FadR,fadI,-
ArcA,fadJ,-
FadR,fadJ,-
ArcA,fadL,-
CRP,fadL,+
FadR,fadL,-
OmpR,fadL,-
PhoP,fadL,+
FadR,fadM,-
Fis,fau,+
Fis,fau,-
H-NS,fau,-
Lrp,fau,-
StpA,fau,-
Cra,fbaA,-
CRP,fbaA,+
Cra,fbaB,-
FhlA,fdhF,+
FNR,fdhF,+
NarL,fdhF,-
NarP,fdhF,+
FNR,fdnG,+
NarL,fdnG,+
NarP,fdnG,-
FNR,fdnH,+
NarL,fdnH,+
NarP,fdnH,-
FNR,fdnI,+
NarL,fdnI,+
NarP,fdnI,-
CRP,feaB,+
FeaR,feaB,+
NsrR,feaB,-
CRP,FeaR,+
Nac,FeaR,+
NsrR,FeaR,-
PhoB,FeaR,-
CRP,fecA,+
Fur,fecA,-
HypT,fecA,-
PdhR,fecA,+
CRP,fecB,+
Fur,fecB,-
HypT,fecB,-
PdhR,fecB,+
CRP,fecC,+
Fur,fecC,-
HypT,fecC,-
PdhR,fecC,+
CRP,fecD,+
Fur,fecD,-
HypT,fecD,-
PdhR,fecD,+
CRP,fecE,+
Fur,fecE,-
HypT,fecE,-
PdhR,fecE,+
Fur,fecI,-
Fur,fecR,-
FNR,feoA,+
Fur,feoA,-
FNR,feoB,+
Fur,feoB,-
FNR,feoC,+
Fur,feoC,-
CRP,fepA,+
Fur,fepA,-
Fur,fepB,-
RutR,fepB,-
Fur,fepC,-
Fur,fepD,-
FNR,fepE,+
Fur,fepE,-
H-NS,fepE,+
Fur,fepG,-
FNR,fes,+
Fur,fes,-
H-NS,fes,+
FNR,FhlA,+
IHF,FhlA,+
NsrR,FhlA,-
Fur,fhuA,-
Fur,fhuB,-
Fur,fhuC,-
Fur,fhuD,-
Fur,fhuE,-
Fur,fhuF,-
OxyR,fhuF,-
H-NS,fimA,+
IHF,fimA,+
Lrp,fimA,+
BasR,fimB,+
H-NS,fimB,-
IHF,fimB,+
NagC,fimB,+
NanR,fimB,+
H-NS,fimC,+
IHF,fimC,+
Lrp,fimC,+
H-NS,fimD,+
IHF,fimD,+
Lrp,fimD,+
H-NS,fimE,-
LrhA,fimE,+
Lrp,fimE,+
H-NS,fimF,+
IHF,fimF,+
Lrp,fimF,+
H-NS,fimG,+
IHF,fimG,+
Lrp,fimG,+
H-NS,fimH,+
IHF,fimH,+
Lrp,fimH,+
H-NS,fimI,+
IHF,fimI,+
Lrp,fimI,+
CRP,Fis,+
IHF,Fis,+
CRP,fiu,+
Fur,fiu,-
CaiF,fixA,+
CRP,fixA,+
FNR,fixA,+
CaiF,fixB,+
CRP,fixB,+
FNR,fixB,+
CaiF,fixC,+
CRP,fixC,+
FNR,fixC,+
CaiF,fixX,+
CRP,fixX,+
FNR,fixX,+
SoxS,fldA,+
SoxS,fldB,+
FlhDC,flgA,+
FlhDC,flgB,+
FlhDC,flgC,+
FlhDC,flgD,+
FlhDC,flgE,+
FlhDC,flgF,+
FlhDC,flgG,+
FlhDC,flgH,+
