TF,Target,Regulation
Fis,xylG,-
XylR,xylG,+
CRP,xylH,+
Fis,xylH,-
XylR,xylH,+
ArcA,XylR,+
CRP,XylR,+
Fis,XylR,-
IHF,yadV,+
CRP,yaeP,-
CRP,yaeQ,-
LexA,yafN,-
LexA,yafO,-
LexA,yafP,-
DinJ-YafQ,yafQ,-
LexA,yafQ,-
FliA,yafW,+
FliA,yafX,+
RcdA,yagK,-
TrpR,yaiA,-
TyrR,yaiA,-
CpxR,yaiW,+
MarA,ybaO,+
GadX,ybaS,+
GadX,ybaT,+
AllR,ybbW,-
AllR,ybbY,-
ArcA,ybdN,+
CysB,ybdN,+
FNR,ybdN,+
FNR,ybdZ,+
Fur,ybdZ,-
H-NS,ybdZ,+
LexA,ybfE,-
CRP,ybfN,+
NagC,ybfN,-
YjjQ,ybhL,-
AscG,ybiT,-
CRP,ybiT,+
MarA,ybjC,+
OxyR,ybjC,-
Rob,ybjC,+
SoxS,ybjC,+
PhoP,ybjG,+
MarA,ybjN,+
OxyR,ybjN,-
Rob,ybjN,+
SoxS,ybjN,+
CpxR,yccA,+
CsgD,yccJ,+
CsgD,yccT,+
CRP,ycdZ,+
CytR,ycdZ,-
FlhDC,ycgR,+
FliA,ycgR,+
BluR,ycgZ,-
OxyR,ychF,-
CRP,ychH,+
FNR,ychO,-
H-NS,yciE,-
McbR,yciE,+
H-NS,yciF,-
McbR,yciF,+
H-NS,yciG,-
McbR,yciG,+
CysB,yciW,+
YjjQ,yciX,-
PgrR,ycjY,-
NsrR,ydbD,-
SoxS,ydbK,+
Nac,ydcS,+
Nac,ydcT,+
Nac,ydcU,+
Nac,ydcV,+
ArcA,ydeA,-
RcdA,ydeI,+
FNR,ydeJ,+
AraC,ydeM,-
NagC,ydeM,-
AraC,ydeN,-
NagC,ydeN,-
EvgA,YdeO,+
H-NS,YdeO,-
PhoP,YdeO,-
RcsB,YdeO,+
EvgA,ydeP,+
H-NS,ydeP,-
NagC,ydeP,-
NarL,ydeP,+
NarP,ydeP,-
PhoP,ydeP,-
RcsB,ydeP,+
UvrY,ydeP,+
DicA,ydfD,-
DicA,ydfE,-
PhoB,ydfH,+
Fur,ydfN,-
DicA,ydfW,-
DicA,ydfX,-
FNR,ydhT,+
NarL,ydhT,-
NarP,ydhT,-
FNR,ydhU,+
NarL,ydhU,-
NarP,ydhU,-
FNR,ydhV,+
NarL,ydhV,-
NarP,ydhV,-
FNR,ydhW,+
NarL,ydhW,-
NarP,ydhW,-
FNR,ydhX,+
NarL,ydhX,-
NarP,ydhX,-
FNR,ydhY,+
NarL,ydhY,-
NarP,ydhY,-
IscR,ydiU,+
SdiA,ydiV,+
LexA,ydjM,-
Cra,yeaD,-
NsrR,yeaE,-
NtrC,yeaG,+
NtrC,yeaH,+
Fis,yeaR,-
NarL,yeaR,+
NarP,yeaR,+
NsrR,yeaR,-
CpxR,yebE,+
LexA,yebG,-
FliA,yecF,+
FlhDC,yecR,+
FNR,yecR,+
RcsB-BglJ,yecT,+
CusR,yedX,+
PhoB,yedX,+
YedW,yedX,+
YefM-YoeB,YefM,-
PhoB,yegH,+
EvgA,yegR,+
EvgA,yegZ,+
MetJ,yeiB,-
FNR,YeiL,-
IHF,YeiL,+
Lrp,YeiL,+
CRP,yeiP,+
CRP,yeiW,+
ArgP,yfaE,+
CRP,yfaE,+
DnaA,yfaE,+
DnaA,yfaE,-
Fis,yfaE,+
H-NS,yfaE,-
NrdR,yfaE,-
CysB,yfbR,+
EvgA,yfdE,+
EvgA,yfdV,+
EvgA,yfdX,+
YjjQ,yfiB,-
YjjQ,yfiR,-
Fur,ygaC,-
CpxR,ygaU,+
FNR,ygbA,-
NsrR,ygbA,-
FlhDC,ygbK,+
FliA,ygbK,+
FlhDC,ygdB,+
FliA,ygdB,+
AraC,ygeA,+
CRP,ygeA,+
CysB,ygeH,+
MarA,ygiA,+
PhoP,ygiA,+
Rob,ygiA,+
SoxS,ygiA,+
MarA,ygiB,+
PhoP,ygiB,+
Rob,ygiB,+
SoxS,ygiB,+
MarA,ygiC,+
PhoP,ygiC,+
Rob,ygiC,+
SoxS,ygiC,+
RcsB-BglJ,ygiZ,+
CsgD,yhbS,-
CsgD,yhbT,-
CRP,yhcH,+
Fis,yhcH,-
NanR,yhcH,-
NtrC,yhdW,+
NtrC,yhdX,+
NtrC,yhdY,+
NtrC,yhdZ,+
CRP,yhfA,+
CRP,yhfA,-
Fur,yhhY,-
FliZ,yhiD,-
GadE,yhiD,+
H-NS,yhiD,-
Lrp,yhiD,-
MarA,yhiD,-
PhoP,yhiD,+
RcsB,yhiD,+
TorR,yhiD,+
FliA,yhiL,+
GadE-RcsB,yhiM,+
H-NS,yhiM,-
FNR,yhjA,+
OxyR,yhjA,+
PhoB,yhjC,+
YpdB,yhjX,+
CRP,YiaJ,-
IHF,YiaJ,-
CRP,yiaK,+
IHF,yiaK,+
YiaJ,yiaK,-
CRP,yiaL,+
IHF,yiaL,+
YiaJ,yiaL,-
CRP,yiaM,+
IHF,yiaM,+
YiaJ,yiaM,-
CRP,yiaN,+
IHF,yiaN,+
YiaJ,yiaN,-
CRP,yiaO,+
IHF,yiaO,+
YiaJ,yiaO,-
Cra,yibQ,-
RcsB-BglJ,yidL,+
CpxR,yidQ,+
YdeO,yiiS,+
IHF,yjbE,+
RcsAB,yjbE,+
IHF,yjbF,+
RcsAB,yjbF,+
IHF,yjbG,+
RcsAB,yjbG,+
IHF,yjbH,+
RcsAB,yjbH,+
CRP,yjcH,+
Fis,yjcH,-
IHF,yjcH,-
FliA,yjcS,+
FliA,yjcZ,+
DnaA,yjeV,-
NanR,yjhB,-
NanR,yjhC,-
CRP,yjiY,+
YehT,yjiY,+
H-NS,yjjP,-
H-NS,YjjQ,-
LeuO,YjjQ,+
Fur,yjjZ,-
FliA,ykfB,+
FliA,ykfF,+
FliA,ykfG,+
FliA,ykfH,+
FliA,ykfI,+
Zur,ykgM,-
Zur,ykgO,-
CRP,ykgR,+
RcsB-BglJ,ykiA,+
BluR,ymgA,-
BluR,ymgC,-
YjjQ,ymiA,-
PgrR,ymjC,-
PgrR,ymjD,-
RcsB-BglJ,ynbA,+
RcsB-BglJ,ynbB,+
RcsB-BglJ,ynbC,+
RcsB-BglJ,ynbD,+
MarA,yncE,+
PhoP,yneM,+
FNR,ynfE,+
NarL,ynfE,-
FNR,ynfF,+
NarL,ynfF,-
FNR,ynfG,+
NarL,ynfG,-
FNR,ynfH,+
NarL,ynfH,-
CRP,ynfK,+
Mlc,ynfK,-
FliA,ynjH,+
RcsB-BglJ,ynjI,+
CysB,yoaC,+
Fis,yoaG,-
NarL,yoaG,+
NarP,yoaG,+
NsrR,yoaG,-
YefM,yoeB,-
YefM-YoeB,yoeB,-
Lrp,yojI,+
CpxR,yqaE,+
YqhC,yqhD,+
RcsB-BglJ,yqhG,+
CpxR,yqjA,+
Fur,yqjH,-
YqjI,yqjH,-
FNR,YqjI,+
BasR,yrbL,-
PhoP,yrbL,+
FNR,ysgA,-
FNR,ytfE,-
NarL,ytfE,+
NarP,ytfE,+
NsrR,ytfE,-
Fur,zinT,+
SoxS,zinT,+
Zur,zinT,-
ZntR,zntA,+
Zur,znuA,-
Zur,znuB,-
Zur,znuC,-
ZraR,zraP,+
CRP,ZraR,+
CRP,zraS,+
ZraR,zraS,+
Cra,zwf,-
FNR,zwf,-
Fur,zwf,-
MarA,zwf,+
Rob,zwf,+
SoxS,zwf,+
